u_first u_second u_last g_one g_two disp_cost htgr_cost sfr_cost coe heat_load ns_measure
0 0 0 1 3 0 1 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 1 3 0 1 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 1 3 0 2 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 1 3 0 2 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 1 3 0 2 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 0 0 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 0 1 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 0 2 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 1 0 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 1 1 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 1 2 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 2 0 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 2 1 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 0 1 2 2 0.08053015744240075 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 0 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 0 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 0 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 1 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 1 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 1 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 2 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 2 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 1 1 2 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 0 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 0 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 0 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 1 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 1 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 1 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 2 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 2 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 2 1 2 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 0 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 0 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 0 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 1 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 1 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 1 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 2 0 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 2 1 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 3 1 2 2 0.08053044982160042 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 0 0 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 0 1 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 0 2 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 1 0 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 1 1 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 1 2 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 2 0 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 2 1 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 0 2 2 2 0.08138137368647415 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 0 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 0 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 0 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 1 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 1 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 1 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 2 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 2 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 1 2 2 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 0 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 0 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 0 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 1 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 1 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 1 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 2 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 2 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 2 2 2 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 0 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 0 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 0 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 1 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 1 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 1 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 2 0 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 2 1 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 3 2 2 2 0.08138166606567382 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 0 0 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 0 1 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 0 2 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 1 0 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 1 1 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 1 2 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 2 0 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 2 1 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 0 3 2 2 0.08217698283922609 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 0 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 0 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 0 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 1 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 1 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 1 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 2 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 2 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 1 3 2 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 0 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 0 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 0 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 1 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 1 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 1 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 2 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 2 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 2 3 2 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 0 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 0 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 0 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 1 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 1 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 1 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 2 0 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 2 1 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 1 3 3 2 2 0.08217727521842577 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 0 0 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 0 1 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 0 2 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 1 0 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 1 1 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 1 2 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 2 0 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 2 1 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 0 0 2 2 0.07857107684046301 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 0 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 0 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 0 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 1 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 1 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 1 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 2 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 2 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 1 0 2 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 0 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 0 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 0 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 1 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 1 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 1 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 2 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 2 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 2 0 2 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 0 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 0 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 0 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 1 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 1 1 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 1 2 0.07857136921966268 9.126724032467529E11 65.95878806462545
0 0 0 2 3 0 2 0 0.07857136921966268 9.126724032467529E11 65.95878806462545
